full_expression,abbreviation
abbreviate,abbr
abbreviation,abbr
abbreviations,abbrs
absolute,abs
argument,arg
arguments,args
attribute,attr
attributes,attrs
authenticate,auth
authentication,auth
authentications,auths
background,bg
bibliography,bib
bibliographies,bibs
chapter,chpt
chapters,chpts
character,chr
characters,chrs
column,col
columns,cols
command,cmd
commands,cmds
combination,combo
combinations,combos
condition,cnd
conditions,cnds
configure,config
configuration,config
configurations,configs
database,db
dataframe,df
dataframes,dfs
dataframe column,dfc
dataframe row,dfr
depend,dep
dependency,dep
dependencies,deps
develop,dev
development,dev
developer,dev
developments,devs
developers,devs
dictionary,dict
dictionaries,dicts
differentiate,diff
difference,diff
differences,diffs
directory,dir
directories,dirs
distribution,distro
distributions,distros
document,doc
documents,docs
double,dbl
doubles,dbls
element,el
elements,els
environment,env
environments,envs
exclude,excl
exclusion,excl
expression,expr
expressions,exprs
factor,fct
factors,fcts
figure,fig
figures,figs
filesystem,fs
formula,fm
formulas,fms
formulae,fms
frequent,freq
frequency,freq
frequencies,freqs
function,fn
functions,fns
generate,gen
generation,gen
generations,gens
identify,id
identifier,id
identifiers,ids
include,incl
inclusion,incl
index,i
indices/indexes,ix
information,info
initialize,init
initialization,init
integer,int
integers,ints
label,lbl
labels,lbls
language,lang
languages,langs
level,lvl
levels,lvls
list,ls
logical,lgl
logicals,lgls
management,mgmt
Markdown,md
message,msg
messages,msgs
modify,mod
modification,mod
modifications,mods
number,nr
numbers,nrs
number of,n
numeric,num
numerics,nums
object,obj
objects,objs
option,opt
options,opts
package,pkg
packages,pkgs
parameterize,param
parameter,param
parameters,params
prototype,ptype
prototypes,ptypes
Quarto Markdown,qmd
R Markdown,rmd
refer,ref
reference,ref
references,refs
referendum,rfrnd
referendums,rfrnds
referenda,rfrnds
regular expression(s),regex
relative,rel
remove,rm
removal,rm
roxygen2,roxy
separate,sep
separator,sep
separators,seps
sequence,seq
sequences,seqs
specify,spec
specification,spec
specifications,specs
string,str
strings,strs
symbolize,sym
symbol,sym
symbols,syms
tabulate,tbl
table,tbl
tables,tbls
template,tpl
templates,tpls
temporary,tmp
value,val
values,vals
variable,var
variables,vars
vectorize,vctr
vector,vctr
vectors,vctrs
version,vrsn
versions,vrsns
working directory,wd
